EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	08:32:41	21	0.0000	0.417448574880805	0.2882714867591858	0.8296	0.8296	0.8296	0.8296
2	08:39:00	21	0.0000	0.23781609009700697	0.2098793089389801	0.8296	0.8296	0.8296	0.8296
3	08:45:19	21	0.0000	0.17689557007736506	0.16390763223171234	0.8771	0.8771	0.8771	0.8771
4	08:51:39	21	0.0000	0.134246645689195	0.13270364701747894	0.8855	0.8855	0.8855	0.8855
5	08:57:59	21	0.0000	0.11348119869494014	0.12393064796924591	0.9008	0.9008	0.9008	0.9008
6	09:04:18	21	0.0000	0.09757477153850358	0.11432524025440216	0.905	0.905	0.905	0.905
7	09:10:38	21	0.0000	0.07982509875611013	0.11787085980176926	0.8994	0.8994	0.8994	0.8994
8	09:16:56	21	0.0000	0.06519211128711332	0.11479499191045761	0.9078	0.9078	0.9078	0.9078
9	09:23:16	21	0.0000	0.056423031029918816	0.12298519909381866	0.9162	0.9162	0.9162	0.9162
10	09:29:36	21	0.0000	0.050441896657287294	0.12669919431209564	0.9092	0.9092	0.9092	0.9092
11	09:35:55	21	0.0000	0.04541711745479728	0.1371711641550064	0.8855	0.8855	0.8855	0.8855
12	09:42:14	21	0.0000	0.040715501055824416	0.1350770741701126	0.9008	0.9008	0.9008	0.9008
13	09:48:33	21	0.0000	0.03601036501410205	0.13257171213626862	0.9134	0.9134	0.9134	0.9134
14	09:54:52	21	0.0000	0.033821916607858965	0.138688862323761	0.9134	0.9134	0.9134	0.9134
15	10:01:11	21	0.0000	0.031112887669420945	0.13662996888160706	0.912	0.912	0.912	0.912
16	10:07:31	21	0.0000	0.03132835414551619	0.13798031210899353	0.9106	0.9106	0.9106	0.9106
17	10:13:51	21	0.0000	0.029523669493262933	0.1390906125307083	0.9148	0.9148	0.9148	0.9148
18	10:20:11	21	0.0000	0.028448093453766483	0.1425563544034958	0.9078	0.9078	0.9078	0.9078
19	10:26:31	21	0.0000	0.027126432258033604	0.141920268535614	0.9092	0.9092	0.9092	0.9092
20	10:32:50	21	0.0000	0.027886288256398117	0.1423262506723404	0.9078	0.9078	0.9078	0.9078
